emp_id,cf_idx,p0,p_cf,dp,cost_yuan,dp_per_kyuan,n_changes,Δ_收入水平,Δ_工作匹配度,Δ_工作满意度,Δ_工作机会,Δ_工作压力,Δ_工作氛围
1074,2,0.3402061855670103,0.045662100456621,0.2945440851103893,11750.0,0.025067579578111468,4,1500.0,2.75,1.75,1.75,0.0,0.0
1074,3,0.3402061855670103,0.045662100456621,0.2945440851103893,10974.0,0.026840172978878838,4,724.0,2.75,1.75,1.75,0.0,0.0
1074,4,0.3402061855670103,0.045662100456621,0.2945440851103893,12255.0,0.0240346031069593,5,5.0,2.75,1.75,1.75,0.0,1.0
1077,0,0.3402061855670103,0.045662100456621,0.2945440851103893,12500.0,0.023563524923749152,4,3000.0,2.25,1.75,1.75,0.0,0.0
1077,1,0.3402061855670103,0.045662100456621,0.2945440851103893,14756.0,0.019960969446287603,5,6.0,2.5,2.0,2.0,0.0,2.0
1077,2,0.3402061855670103,0.045662100456621,0.2945440851103893,13544.0,0.02174719900791423,5,1419.0,2.5,1.75,2.0,0.0,1.0
1077,3,0.3402061855670103,0.045662100456621,0.2945440851103893,15455.0,0.019058173151227188,5,705.0,2.5,2.0,2.0,0.0,2.0
1077,4,0.3402061855670103,0.045662100456621,0.2945440851103893,13175.0,0.022356285598034438,5,1050.0,2.5,1.75,2.0,0.0,1.0
1079,0,0.3402061855670103,0.045662100456621,0.2945440851103893,14416.6669921875,0.020430801712989784,4,3000.0,2.25,2.25,2.4166667461395264,0.0,0.0
1079,1,0.3402061855670103,0.045662100456621,0.2945440851103893,16673.66796875,0.0176652232728398,5,7.0,2.5,2.5,2.6666667461395264,0.0,2.0
1079,2,0.3402061855670103,0.045662100456621,0.2945440851103893,15550.6669921875,0.018940928149090788,5,1509.0,2.5,2.25,2.6666667461395264,0.0,1.0
1079,3,0.3402061855670103,0.045662100456621,0.2945440851103893,15085.6669921875,0.0195247625271169,5,419.0,2.5,2.5,2.6666667461395264,0.0,1.0
1079,4,0.3402061855670103,0.046632124352331605,0.2935740612146787,14831.6669921875,0.01979373199085344,5,790.0,2.5,2.25,2.6666667461395264,0.0,1.0
1081,0,0.3402061855670103,0.045662100456621,0.2945440851103893,15333.3330078125,0.019209396010046863,5,3000.0,2.0,2.0,2.3333332538604736,0.0,1.0
1082,0,0.3402061855670103,0.046632124352331605,0.2935740612146787,11750.0,0.024985024359970586,4,3000.0,1.25,1.9166667461395264,2.0833332538604736,0.0,0.0
1082,1,0.3402061855670103,0.045662100456621,0.2945440851103893,17887.0,0.016466935128498585,6,887.0,1.5,2.1666667461395264,2.3333332538604736,-1.0,2.0
1082,2,0.3402061855670103,0.045662100456621,0.2945440851103893,13133.0,0.02242778212766369,5,1133.0,1.5,2.1666667461395264,2.3333332538604736,0.0,1.0
1082,3,0.3402061855670103,0.045662100456621,0.2945440851103893,13435.0,0.02192363700682935,5,1435.0,1.5,2.1666667461395264,2.3333332538604736,0.0,1.0
1085,0,0.36,0.045662100456621,0.314337899543379,16183.0,0.01942395601059278,4,3058.0,3.0,2.25,3.0,0.0,0.0
1085,1,0.36,0.045662100456621,0.314337899543379,18770.0,0.016746823803758932,5,1020.0,3.0,2.5,3.0,0.0,2.0
1085,2,0.36,0.045662100456621,0.314337899543379,18830.0,0.016693461648960028,5,1330.0,3.0,2.5,2.75,0.0,2.0
1085,3,0.36,0.045662100456621,0.314337899543379,18945.0,0.016592128949656903,5,1195.0,3.0,2.5,3.0,0.0,2.0
1085,4,0.36,0.045662100456621,0.314337899543379,18784.0,0.016734342142729813,5,1284.0,3.0,2.5,2.75,0.0,2.0
1086,0,0.3402061855670103,0.045662100456621,0.2945440851103893,14541.666015625,0.02025518015189745,4,3500.0,2.5,1.5833332538604736,3.3333334922790527,0.0,0.0
1086,1,0.3402061855670103,0.045662100456621,0.2945440851103893,18984.666015625,0.015514840732680217,6,318.0,2.5,1.8333332538604736,3.3333334922790527,-1.0,2.0
1086,2,0.3402061855670103,0.045662100456621,0.2945440851103893,16861.666015625,0.017468266028349843,5,1195.0,2.5,1.8333332538604736,3.3333334922790527,0.0,2.0
1086,3,0.3402061855670103,0.045662100456621,0.2945440851103893,16333.666015625,0.018032942928775553,5,667.0,2.5,1.8333332538604736,3.3333334922790527,0.0,2.0
1086,4,0.3402061855670103,0.045662100456621,0.2945440851103893,16525.666015625,0.01782343095936147,5,859.0,2.5,1.8333332538604736,3.3333334922790527,0.0,2.0
1089,0,0.3402061855670103,0.045662100456621,0.2945440851103893,10750.0,0.027399447228924848,4,4500.0,1.0,1.5,1.0,0.0,0.0
